Name,Library System,Latitude,Longitude,Address,City,Zip Code,County,Phone
Belvedere-Tiburon Library,Belvedere-Tiburon Library,37.87709,-122.46145,1501 Tiburon Blvd,Tiburon,94920,Marin,(415) 789-2665
Benicia Public Library,Benicia Public Library,38.05340,-122.15447,150 E. L St.,Benicia,94510,Solano,(707) 746-4343
Berkeley Public Library - Central,Berkeley Public Library,37.86820,-122.26849,2090 Kittredge St.,Berkeley,94704,Alameda,(510) 981-6100
Claremont Branch Library,Berkeley Public Library,37.85663,-122.25436,2940 Benvenue Ave.,Berkeley,94705,Alameda,(510) 981-6280
North Branch Library,Berkeley Public Library,37.88545,-122.27545,1170 The Alameda,Berkeley,94707,Alameda,(510) 981-6250
South Branch Library,Berkeley Public Library,37.85640,-122.27093,1901 Russell St.,Berkeley,94703,Alameda,(510) 981-6260
West Branch Library,Berkeley Public Library,37.86956,-122.29091,1125 University Ave.,Berkeley,94702,Alameda,(510) 981-6270
Beverly Hills Public Library,Beverly Hills Public Library,34.07305,-118.39938,444 N. Rexford Dr.,Beverly Hills,90210,Los Angeles,(310) 288-2220
Roxbury Book Nook,Beverly Hills Public Library,34.05857,-118.40614,401 S. Roxbury Dr.,Beverly Hills,90212,Los Angeles,(310) 285-6849
Blanchard Community Library,Blanchard/Santa Paula Public Library District,34.35382,-119.06408,119 N. Eighth St.,Santa Paula,93060,Ventura,(805) 525-3615
Brawley Public Library,Brawley Public Library,32.97843,-115.53481,400 Main St.,Brawley,92227,Imperial,(760) 344-1891
Del Rio Branch,Brawley Public Library,32.97574,-115.51728,1501 I St.,Brawley,92227,Imperial,(760) 344-1891
Buena Park Library District,Buena Park Library District,33.84610,-118.00845,7150 La Palma Ave.,Buena Park,90620,Orange,(714) 826-4100
Buena Vista Branch,Burbank Public Library,34.16413,-118.33021,300 N. Buena Vista Street,Burbank,91505,Los Angeles,(818) 238-5620
Burbank Public Library,Burbank Public Library,34.18382,-118.30647,110 N. Glenoaks Blvd.,Burbank,91502,Los Angeles,(818) 238-5551
Northwest Branch,Burbank Public Library,34.18509,-118.34752,3323 W. Victory Blvd.,Burbank,91505,Los Angeles,(818) 238-5640
Burlingame Main Library,Burlingame Public Library,37.57924,-122.34928,480 Primrose Road,Burlingame,94010,San Mateo,(650) 558-7474
Easton Branch,Burlingame Public Library,37.58393,-122.37157,1800 Easton Drive,Burlingame,94010,San Mateo,(650) 340-6180
Biggs Branch,Butte County Library,39.41350,-121.71032,464A B St.,Biggs,95917,Butte,(530) 552-5652
Oroville Branch,Butte County Library,39.50647,-121.55279,1820 Mitchell Avenue,Oroville,95966,Butte,(530) 552-5652
Chico Branch,Butte County Library,39.74383,-121.83411,1108 Sherman Avenue,Chico,95926,Butte,(530) 552-5652
Durham Branch,Butte County Library,39.64898,-121.80951,2545 Durham Dayton Hwy,Durham,95938,Butte,(530) 552-5652
Gridley Branch,Butte County Library,39.36669,-121.69109,299 Spruce Street,Gridley,95948,Butte,(530) 552-5652
Paradise Branch,Butte County Library,39.75799,-121.60616,5922 Clark Road,Paradise,95969,Butte,(530) 552-5652
Calabasas City Library,Calabasas City Library,34.15259,-118.64658,200 Civic Center Way,Calabasas,91302,Los Angeles,(818) 225-7616
Angels Camp Branch,Calaveras County Library,38.08614,-120.56645,426 N. Main Street,Angels Camp,95222,Calaveras,(209) 736-2198
Arnold Branch,Calaveras County Library,38.25789,-120.34738,1065 Blagen Road,Arnold,95223,Calaveras,(209) 795-1009
Calaveras County Library,Calaveras County Library,38.18970,-120.66319,1299 Gold Hunter Road,San Andreas,95249,Calaveras,(209) 754-6510
Copperopolis Branch Library,Calaveras County Library,37.96976,-120.62597,Suite 106 Lake Tulloch Plaza,Copperopolis,95228,Calaveras,(209) 785-0920
Mokelumne Hill Branch Library,Calaveras County Library,38.30159,-120.70567,8328 Main St.,Mokelumne Hill,95245,Calaveras,(209) 286-0507
Murphys Branch,Calaveras County Library,38.13742,-120.45964,480 Park Lane,Murphys,95247,Calaveras,(209) 728-3036
Valley Springs Branch,Calaveras County Library,38.19105,-120.83253,240 Pine St.,Valley Springs,95252,Calaveras,(209) 772-1318
West Point Branch Library,Calaveras County Library,38.39866,-120.52643,54 Bald Mountain Road,West Point,95255,Calaveras,(209) 293-7020
Camarena Memorial Public Library,Camarena Memorial Public Library,32.67527,-115.48765,850 Encinas Avenue,Calexico,92231,Imperial,(760) 768-2170
Carnegie Technology Center Branch,Camarena Memorial Public Library,32.66957,-115.49265,420 Heber Ave.,Calexico,92231,Imperial,(760) 357-5525
Camarillo Public Library,Camarillo Public Library,34.24317,-119.01390,4101 Las Posas Rd,Camarillo,93010,Ventura,(805) 388-5222
Dove Library,Carlsbad City Library,33.10543,-117.26986,1775 Dove Lane,Carlsbad,92011,San Diego,(760) 602-2038
Georgina Cole Library,Carlsbad City Library,33.16495,-117.34051,1250 Carlsbad Village Drive,Carlsbad,92008,San Diego,(760) 434-2870
Carlsbad City Library Learning Center,Carlsbad City Library,33.15934,-117.33858,3368 Eureka Place,Carlsbad,92008,San Diego,(760) 931-4500
Carpinteria Community Library,Carpinteria Community Library,34.39744,-119.51704,5141 Carpinteria Ave.,Carpinteria,93013,Santa Barbara,(805) 684-4314
Cerritos Library,Cerritos Public Library,33.86705,-118.06474,18025 Bloomfield Ave.,Cerritos,90703,Los Angeles,(562) 916-1350
Civic Center Branch,Chula Vista Public Library,32.64094,-117.08336,365 F St.,Chula Vista,91910,San Diego,(619) 691-5069
Otay Ranch Library,Chula Vista Public Library,32.62384,-116.96698,2015 Birch Rd,Chula Vista,91915,San Diego,(619) 397-5740
South Chula Vista Library,Chula Vista Public Library,32.60191,-117.06855,389 Orange Avenue,Chula Vista,91911,San Diego,(619) 585-5755
Bandini Branch,City Of Commerce Public Library,34.00516,-118.16498,2269 S. Atlantic Blvd,Commerce,90040,Los Angeles,(323) 780-1176
Bristow Park Branch,City Of Commerce Public Library,34.01304,-118.16923,1466 S. Mcdonnell Ave.,Commerce,90040,Los Angeles,(323) 265-1787
City Of Commerce Rosewood Library,City Of Commerce Public Library,34.00033,-118.15669,5655 Jillson St.,Commerce,90040,Los Angeles,(323) 722-6660
Veterans Branch,City Of Commerce Public Library,33.98624,-118.12455,6134 S. Greenwood Ave.,Commerce,90040,Los Angeles,(562) 927-1516
Coalinga Library,Coalinga-Huron Library District,36.14141,-120.36094,305 N. 4Th St.,Coalinga,93210,Fresno,(559) 935-1058
Huron Branch Library,Coalinga-Huron Library District,36.21002,-120.09951,36050 O St.,Huron,93234,Fresno,(559) 945-2284
Colton Main Library,Colton Public Library,34.07177,-117.32120,656 N. 9Th St.,Colton,92324,San Bernardino,(909) 370-5189
Luque Branch Library,Colton Public Library,34.05923,-117.32213,294 E. O St.,Colton,92324,San Bernardino,(909) 370-5182
Arbuckle Branch,Colusa County Free Library,39.01534,-122.05831,610 King St.,Arbuckle,95912,Colusa,(530) 476-2526
Colusa County Free Library,Colusa County Free Library,39.21504,-122.01097,738 Market St.,Colusa,95932,Colusa,(530) 458-7671
Grimes Branch,Colusa County Free Library,39.07426,-121.89432,240 Main,Grimes,95950,Colusa,(530) 437-2428
Maxwell Branch,Colusa County Free Library,39.27647,-122.19219,34 Oak St.,Maxwell,95955,Colusa,(530) 438-2250
Princeton Branch,Colusa County Free Library,39.44839,-122.02692,232 Prince St.,Princeton,95970,Colusa,(530) 439-2235
Stonyford Branch,Colusa County Free Library,39.36893,-122.54819,5080 Stonyford-Lodoga Rd,Stonyford,95979,Colusa,(530) 963-3722
Williams Branch,Colusa County Free Library,39.15352,-122.15185,901 E St.,Williams,95987,Colusa,(530) 473-5955
Antioch Library,Contra Costa County Library,38.00471,-121.81262,501 W. 18Th Street,Antioch,94509,Contra Costa,(925) 757-9224
Bay Point Library,Contra Costa County Library,38.03363,-121.96715,205 Pacifica Avenue,Bay Point,94565,Contra Costa,(925) 458-9597
Brentwood Library,Contra Costa County Library,37.93361,-121.69258,104 Oak Street,Brentwood,94513,Contra Costa,(925) 516-5290
Clayton Community Library,Contra Costa County Library,37.94256,-121.93531,6125 Clayton Road,Clayton,94517,Contra Costa,(925) 673-0659
Concord Library,Contra Costa County Library,37.98159,-122.02519,2900 Salvio Street,Concord,94519,Contra Costa,(925) 646-5455
Crockett Library,Contra Costa County Library,38.05542,-122.22074,991 Loring Avenue,Crockett,94525,Contra Costa,(510) 787-2345
Danville Library,Contra Costa County Library,37.82086,-121.99561,400 Front Street,Danville,94526,Contra Costa,(925) 837-4889
Dougherty Station Library,Contra Costa County Library,37.75391,-121.90973,17017 Bollinger Canyon Rd.,San Ramon,94582,Contra Costa,(925) 973-3380
El Cerrito Library,Contra Costa County Library,37.90841,-122.30398,6510 Stockton Ave.,El Cerrito,94530,Contra Costa,(510) 526-7512
El Sobrante Library,Contra Costa County Library,37.96740,-122.30964,4191 Appian Way,El Sobrante,94803,Contra Costa,(510) 374-3991
Hercules Library,Contra Costa County Library,38.00957,-122.26517,109 Civic Dr.,Hercules,94547,Contra Costa,(510) 245-2420
Kensington Library,Contra Costa County Library,37.91298,-122.28103,61 Arlington Ave.,Kensington,94707,Contra Costa,(510) 524-3043
Lafayette Library,Contra Costa County Library,37.89226,-122.11602,3491 Mt. Diablo Blvd.,Lafayette,94549,Contra Costa,(925) 385-2280
Martinez Library,Contra Costa County Library,38.01795,-122.13418,740 Court St.,Martinez,94553,Contra Costa,(925) 646-2898
Moraga Library,Contra Costa County Library,37.84135,-122.11014,1500 St. Mary'S Rd.,Moraga,94556,Contra Costa,(925) 376-6852
Oakley Library,Contra Costa County Library,37.97065,-121.71803,1050 Neroly Road,Oakley,94561,Contra Costa,(925) 625-2400
Orinda Library,Contra Costa County Library,37.88253,-122.18746,26 Orinda Way,Orinda,94563,Contra Costa,(925) 254-2184
Pinole Library,Contra Costa County Library,37.99242,-122.28499,2935 Pinole Valley Rd.,Pinole,94564,Contra Costa,(510) 758-2741
Pittsburg Library,Contra Costa County Library,38.01874,-121.89090,80 Power Ave.,Pittsburg,94565,Contra Costa,(925) 427-8390
Pleasant Hill Library,Contra Costa County Library,37.93486,-122.06839,100 Gregory Lane,Pleasant Hill,94523,Contra Costa,(925) 646-6434
Prewett Library,Contra Costa County Library,37.96627,-121.77448,4703 Lone Tree Way,Antioch,94531,Contra Costa,(925) 776-3060
Rodeo Library,Contra Costa County Library,38.03525,-122.26842,220 Pacific Ave.,Rodeo,94572,Contra Costa,(510) 799-2606
San Pablo Library,Contra Costa County Library,37.95788,-122.33993,13751 San Pablo Ave.,San Pablo,94806,Contra Costa,(510) 374-3998
San Ramon Library,Contra Costa County Library,37.76433,-121.95327,100 Montgomery St.,San Ramon,94583,Contra Costa,(925) 973-2850
Walnut Creek Library,Contra Costa County Library,37.90132,-122.06026,1644 N. Broadway,Walnut Creek,94596,Contra Costa,(925) 977-3340
Ygnacio Valley Library,Contra Costa County Library,37.92408,-122.01262,2661 Oak Grove Rd.,Walnut Creek,94598,Contra Costa,(925) 938-1481
Corona Public Library,Corona Public Library,33.87499,-117.56804,650 South Main St.,Corona,92882,Riverside,(951) 736-2381
Coronado Public Library,Coronado Public Library,32.69120,-117.17767,640 Orange Ave.,Coronado,92118,San Diego,(619) 522-7390
Covina Public Library,Covina Public Library,34.08820,-117.88745,234 N. Second Ave.,Covina,91723,Los Angeles,(626) 384-5303
Crowell Public Library,Crowell Public Library,34.11901,-118.11269,1890 Huntington Dr.,San Marino,91108,Los Angeles,(626) 300-0777
Bayshore Library,Daly City Public Library,37.70160,-122.41897,460 Martin St.,Daly City,94014,San Mateo,(650) 991-8074
John D. Daly Library,Daly City Public Library,37.70202,-122.46261,134 Hillside Blvd,Daly City,94014,San Mateo,(650) 991-8073
Serramonte Main Library,Daly City Public Library,37.66304,-122.47039,40 Wembley Drive,Daly City,94015,San Mateo,(650) 991-8023
Westlake Library,Daly City Public Library,37.69722,-122.48540,275 Southgate Ave.,Daly City,94015,San Mateo,(650) 991-8071
Del Norte County Library District,Del Norte County Library District,41.75575,-124.20259,190 Price Mall,Crescent City,95531,Del Norte,(707) 464-9793
Smith River Branch,Del Norte County Library District,41.92632,-124.14821,241 First St.,Smith River,95567,Del Norte,(707) 464-7072
Downey City Library,Downey City Library,33.93969,-118.12882,11121 Brookshire Ave.,Downey,90241,Los Angeles,(562) 904-7360
Community Center Branch Library,El Centro Public Library,32.79031,-115.54382,375 S. First St.,El Centro,92243,Imperial,(760) 336-8977
El Centro Public Library,El Centro Public Library,32.80247,-115.57161,1140 N. Imperial Ave.,El Centro,92243,Imperial,(760) 337-4565
Cameron Park Branch,El Dorado County Library,38.65996,-121.00571,2500 Country Club Dr.,Cameron Park,95682,El Dorado,(530) 621-5500
El Dorado County Library,El Dorado County Library,38.72892,-120.82769,345 Fair Lane,Placerville,95667,El Dorado,(530) 621-5540
El Dorado Hills Library,El Dorado County Library,38.67204,-121.06459,7455 Silva Valley Parkway,El Dorado Hills,95762,El Dorado,(916) 358-3500
Georgetown Library,El Dorado County Library,38.90634,-120.83762,6680 Orleans Street,Georgetown,95634,El Dorado,(530) 333-4724
Pollock Pines Library,El Dorado County Library,38.75961,-120.58827,6210 Pony Express Trail,Pollock Pines,95726,El Dorado,(530) 644-2498
South Lake Tahoe Library,El Dorado County Library,38.94450,-119.97356,1000 Rufus Allen Blvd.,South Lake Tahoe,96150,El Dorado,(530) 573-3185
Center Street School Branch Library,El Segundo Public Library,33.92473,-118.40461,700 Center St.,El Segundo,90245,Los Angeles,(310) 615-2680
El Segundo Public Library,El Segundo Public Library,33.92392,-118.41678,111 W. Mariposa Ave.,El Segundo,90245,Los Angeles,(310) 524-2722
High School Branch Library,El Segundo Public Library,33.92487,-118.41538,640 Main St.,El Segundo,90245,Los Angeles,(310) 615-2662
Middle School Branch Library,El Segundo Public Library,33.92020,-118.40464,332 Center Street,El Segundo,90245,Los Angeles,(310) 615-2685
Richmond Street Elementary School Library,El Segundo Public Library,33.92435,-118.41746,615 Richmond St.,El Segundo,90245,Los Angeles,(310) 606-6831
Escondido Pioneer Room and Computer Center,Escondido Public Library,33.12060,-117.07925,247 South Kalmia Street,Escondido,92025,San Diego,(760) 839-4315
Escondido Public Library,Escondido Public Library,33.12082,-117.07987,239 S. Kalmia St.,Escondido,92025,San Diego,(760) 839-4684
"Folsom Public Library, Georgia Murray Building",Folsom Public Library,38.68126,-121.16659,411 Stafford St,Folsom,95630,Sacramento,(916) 355-7374
Auberry Branch Library,Fresno County Public Library,37.07471,-119.48785,33049 Auberry Road,Auberry,93602,Fresno,(559) 855-8523
Bear Mountain Branch Library,Fresno County Public Library,36.73842,-119.25071,30733 E. Kings Canyon Road,Squaw Valley,93675,Fresno,(559) 332-2528
Betty Rodriguez Regional Library,Fresno County Public Library,36.77826,-119.75374,3040 N Cedar Ave,Fresno,93703,Fresno,(559) 600-9245
Big Creek Station,Fresno County Public Library,37.20481,-119.24712,51190 Point Road,Big Creek,93605,Fresno,(559) 893-6614
Biola Station,Fresno County Public Library,36.80497,-120.01755,4885 N. Biola Ave,Biola,93723,Fresno,(559) 843-2001
Caruthers Branch Library,Fresno County Public Library,36.54212,-119.83139,13382 South Henderson Rd.,Caruthers,93609,Fresno,(559) 864-8766
Central Library,Fresno County Public Library,36.73790,-119.78649,2420 Mariposa St.,Fresno,93721,Fresno,(559) 600-7323
Clovis Regional Library,Fresno County Public Library,36.82431,-119.69479,1155 Fifth St.,Clovis,93612,Fresno,(559) 600-9531
Easton Branch Library,Fresno County Public Library,36.65224,-119.79036,25 E. Fantz Ave.,Easton,93706,Fresno,(559) 237-3929
Fig Garden Regional Library,Fresno County Public Library,36.82238,-119.84643,3071 W. Bullard,Fresno,93711,Fresno,(559) 600-4071
Firebaugh Branch Library,Fresno County Public Library,36.85686,-120.45395,1315 O St.,Firebaugh,93622,Fresno,(559) 600-9274
Fowler Branch Library,Fresno County Public Library,36.62743,-119.67776,306 S. 7Th St.,Fowler,93625,Fresno,(559) 600-3114
Gillis Branch Library,Fresno County Public Library,36.78631,-119.81900,629 W. Dakota,Fresno,93705,Fresno,(559) 225-0140
Kerman Branch Library,Fresno County Public Library,36.72740,-120.06133,15081 W. Kearney Plaza,Kerman,93630,Fresno,(559) 846-8804
Kingsburg Branch Library,Fresno County Public Library,36.51481,-119.55325,1399 Draper,Kingsburg,93631,Fresno,(559) 897-3710
Laton Station,Fresno County Public Library,36.43458,-119.68475,6313 Dewoody St.,Laton,93242,Fresno,(559) 923-4554
Literacy Services Center,Fresno County Public Library,36.73790,-119.78649,2420 Mariposa Street,Fresno,93721,Fresno,(559) 600-9240
Mendota Branch Library,Fresno County Public Library,36.74876,-120.38471,1246 Belmont Avenue,Mendota,93640,Fresno,(559) 600-9291
Mosqueda Branch Library,Fresno County Public Library,36.72811,-119.74256,4670 E. Butler,Fresno,93702,Fresno,(559) 600-4072
Orange Cove Branch Library,Fresno County Public Library,36.62425,-119.31530,815 Park Blvd.,Orange Cove,93646,Fresno,(559) 600-9292
Pinedale Branch Library,Fresno County Public Library,36.84050,-119.79422,7170 N. San Pablo,Pinedale,93650,Fresno,(559) 439-0486
Parlier Branch Library,Fresno County Public Library,36.61187,-119.53529,1130 E. Parlier Ave.,Parlier,93648,Fresno,(559) 646-3835
Piedra Station,Fresno County Public Library,36.82035,-119.38052,25385 Trimmer Springs Road,Piedra,93649,Fresno,(559) 787-3266
Politi Branch Library,Fresno County Public Library,36.82225,-119.77366,5771 N. First St.,Fresno,93710,Fresno,(559) 431-6450
Reedley Branch Library,Fresno County Public Library,36.59805,-119.44963,1027 E St.,Reedley,93654,Fresno,(559) 638-2818
Riverdale Branch Library,Fresno County Public Library,36.43112,-119.86162,20975 Malsbary,Riverdale,93656,Fresno,(559) 867-3381
San Joaquin Branch Library,Fresno County Public Library,36.60731,-120.18714,8781 Main St.,San Joaquin,93660,Fresno,(559) 693-2171
Sanger Branch Library,Fresno County Public Library,36.70615,-119.56283,1812 Seventh St.,Sanger,93657,Fresno,(559) 875-2435
Selma Branch Library,Fresno County Public Library,36.56747,-119.60939,2200 Selma St.,Selma,93662,Fresno,(559) 896-3393
Shaver Lake Branch Library,Fresno County Public Library,37.10215,-119.32095,41344 Tollhouse Rd.,Shaver Lake,93664,Fresno,(559) 841-3330
Sunnyside Branch Library,Fresno County Public Library,36.73484,-119.70125,5566 E. Kings Canyon Road,Fresno,93727,Fresno,(559) 600-6594
Talking Book Library For The Blind,Fresno County Public Library,36.75290,-119.79435,770 N. San Pablo Ave.,Fresno,93728,Fresno,(559) 600-3217
Teague Branch Library,Fresno County Public Library,36.80273,-119.88984,4725 N. Polk Ave.,Fresno,93722,Fresno,(559) 274-1005
Tranquillity Station,Fresno County Public Library,36.64951,-120.25132,25561 W Williams St,Tranquillity,93668,Fresno,(559) 698-5158
West Fresno Branch Library,Fresno County Public Library,36.72023,-119.81021,188 E. California Ave,Fresno,93706,Fresno,(559) 455-6066
Woodward Park Regional Library,Fresno County Public Library,36.87160,-119.76658,944 East Perrin Avenue,Fresno,93720,Fresno,(559) 600-3135
Fullerton Main Library,Fullerton Public Library,33.87072,-117.93048,353 W. Commonwealth Ave.,Fullerton,92832,Orange,(714) 738-6380
Brand Library,Glendale Public Library,34.18264,-118.27644,1601 W. Mountain St.,Glendale,91201,Los Angeles,(818) 548-2051
Casa Verdugo Branch Library,Glendale Public Library,34.16326,-118.25545,1151 N. Brand Blvd.,Glendale,91202,Los Angeles,(818) 548-2047
Chevy Chase Branch Library,Glendale Public Library,34.17382,-118.20007,3301 E. Chevy Chase Dr.,Glendale,91206,Los Angeles,(818) 548-2046
"Glendale Library, Arts & Culture",Glendale Public Library,34.14399,-118.25359,222 E. Harvard St.,Glendale,91205,Los Angeles,(818) 548-2021
Grandview Branch Library,Glendale Public Library,34.17041,-118.28551,1535 Fifth St.,Glendale,91201,Los Angeles,(818) 548-2049
Library Connection @ Adams Square,Glendale Public Library,34.13365,-118.24150,1100 East Chevy Chase Drive,Glendale,91205,Los Angeles,(818) 548-3833
Montrose Branch Library,Glendale Public Library,34.20750,-118.23270,2465 Honolulu Ave.,Montrose,91020,Los Angeles,(818) 548-2048
Pacific Park Branch Library,Glendale Public Library,34.13924,-118.26475,501 South Pacific Avenue,Glendale,91204,Los Angeles,(818) 548-3760
Glendora Library & Cultural Center,Glendora Library & Cultural Center,34.13507,-117.86528,140 South Glendora Ave.,Glendora,91741,Los Angeles,(626) 852-4891
Buellton Library,Goleta Valley Library,34.61410,-120.19623,140 W. Hwy 246,Buellton,93427,Santa Barbara,(805) 688-3115
Goleta Valley Library,Goleta Valley Library,34.44760,-119.83012,500 N. Fairview Ave.,Goleta,93117,Santa Barbara,(805) 964-7878
Solvang Library,Goleta Valley Library,34.59651,-120.13611,1745 Mission Drive,Solvang,93463,Santa Barbara,(805) 688-4214
Harrison Memorial Library,Harrison Memorial Library,36.55509,-121.92355,Ocean Ave. & Lincoln Blvd.,Carmel,93921,Monterey,(831) 624-4629
Park Branch Library - Harrison Memorial,Harrison Memorial Library,36.55434,-121.92096,Mission & Sixth St.,Carmel,93921,Monterey,(831) 624-4664
Hayward Public Library,Hayward Public Library,37.67009,-122.08308,888 C St.,Hayward,94541,Alameda,(510) 293-8685
Weekes Branch Library,Hayward Public Library,37.63339,-122.07893,27300 Patrick Ave.,Hayward,94544,Alameda,(510) 782-2155
Hemet Public Library,Hemet Public Library,33.74958,-116.96974,300 E. Latham Ave,Hemet,92543,Riverside,(951) 765-2440
Arcata Library,Humboldt County Library,40.86772,-124.08411,500 Seventh St.,Arcata,95521,Humboldt,(707) 822-5954
Blue Lake Library,Humboldt County Library,40.88254,-123.99199,111 Greenwood Ave.,Blue Lake,95525,Humboldt,(707) 668-4207
Eureka Main Library,Humboldt County Library,40.80594,-124.15731,1313 Third St.,Eureka,95501,Humboldt,(707) 269-1929
Ferndale Library,Humboldt County Library,40.57988,-124.26119,807 Main Street,Ferndale,95536,Humboldt,(707) 786-9559
Fortuna Library,Humboldt County Library,40.59873,-124.15214,775 14Th St.,Fortuna,95540,Humboldt,(707) 725-3460
Garberville Library,Humboldt County Library,40.10235,-123.79211,715 Cedar St.,Garberville,95542,Humboldt,(707) 923-2230
Kim Yerton Memorial Library,Humboldt County Library,41.05005,-123.67829,Loop Road,Hoopa,95546,Humboldt,(530) 625-5082
Mckinleyville Library,Humboldt County Library,40.94419,-124.09981,1606 Pickett Rd.,Mckinleyville,95519,Humboldt,(707) 839-4459
Rio Dell Library,Humboldt County Library,40.50003,-124.10659,715 Wildwood Ave.,Rio Dell,95562,Humboldt,(707) 764-3333
Trinidad Branch Library,Humboldt County Library,41.06203,-124.14118,380 Janis Ct.,Trinidad,95570,Humboldt,(707) 677-0227
Willow Creek (Klamath-Trinity) Library,Humboldt County Library,40.93998,-123.63093,39 Mayfair St,Willow Creek,95573,Humboldt,(530) 629-2146
Banning Library,Huntington Beach Public Library,33.64361,-117.96561,9281 Banning Ave.,Huntington Beach,92646,Orange,(714) 375-5005
